"Hash","Path","Bytes"
"3a48ffadeb2c6647dee84c2ffe8ec6179b68739a9609e164436707436e417551","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\back-symbolic.svg","1532"
"3a48ffadeb2c6647dee84c2ffe8ec6179b68739a9609e164436707436e417551","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\back.svg","1532"
"74c197bcb48e1cfbb8e24896819c7e07f332fed2d668fe89e8683125f2f8156d","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\filesave-symbolic.svg","2049"
"74c197bcb48e1cfbb8e24896819c7e07f332fed2d668fe89e8683125f2f8156d","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\filesave.svg","2049"
"90e88aab76b89a278c44b542c1005d38c4d1ad61b634e5ffe7eadb0051e97664","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\forward-symbolic.svg","1551"
"90e88aab76b89a278c44b542c1005d38c4d1ad61b634e5ffe7eadb0051e97664","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\forward.svg","1551"
"5d570572ecdc2f7490dcb8df49bb5d2d80e3a01e585248f68e4d8693cbda645f","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\help-symbolic.svg","1890"
"5d570572ecdc2f7490dcb8df49bb5d2d80e3a01e585248f68e4d8693cbda645f","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\help.svg","1890"
"a6daeeb3c8793d94e2f5a8587e76b3fae67c3001c2afbd9a3de316e3c4c147d4","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\home-symbolic.svg","1911"
"a6daeeb3c8793d94e2f5a8587e76b3fae67c3001c2afbd9a3de316e3c4c147d4","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\home.svg","1911"
"fee6a62e78d0db48b04ae29b77c26f4d7505691ab8db4e8cae9156bed12bafc2","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\move-symbolic.svg","2529"
"fee6a62e78d0db48b04ae29b77c26f4d7505691ab8db4e8cae9156bed12bafc2","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\move.svg","2529"
"1aae1f0d24bdf51bf9adb47cfe77a757a8dc63956c28f01159e1fe059064f425","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\subplots-symbolic.svg","2150"
"1aae1f0d24bdf51bf9adb47cfe77a757a8dc63956c28f01159e1fe059064f425","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\subplots.svg","2150"
"b8c99d1a43b8dd91e57b392989e477fcc8aa944739bd139f7d10ce858e2cc66e","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\zoom_to_rect-symbolic.svg","1499"
"b8c99d1a43b8dd91e57b392989e477fcc8aa944739bd139f7d10ce858e2cc66e","C:\Users\peewe\OneDrive\Desktop\homeix\.venv\Lib\site-packages\matplotlib\mpl-data\images\zoom_to_rect.svg","1499"
