"Print","Kind","Name","Size"
"print_20260226_205052","FILE","anim_fair_direction_of_flow - Copy.gif","1655961"
"print_20260226_205052","FILE","domain_terms_state1_state2 - Copy.csv","312"
"print_20260226_205052","FILE","domain_terms_state1_state2.csv","312"
"print_20260226_205052","FILE","ew_crash_starts - Copy.csv","13"
"print_20260226_205052","FILE","ew_crash_starts.csv","13"
"print_20260226_205052","FILE","ew_events_lead_times - Copy.csv","88"
"print_20260226_205052","FILE","ew_events_lead_times.csv","88"
"print_20260226_205052","FILE","ew_summary - Copy.json","299"
"print_20260226_205052","FILE","ew_summary.json","299"
"print_20260226_205052","FILE","fair_quarterly_audit - Copy.csv","34462"
"print_20260226_205052","FILE","fair_quarterly_audit.csv","34462"
"print_20260226_205052","FILE","fair_summary_baseline_stats - Copy.csv","280"
"print_20260226_205052","FILE","fair_summary_baseline_stats.csv","280"
"print_20260226_205052","FILE","features_quarterly - Copy.csv","18607"
"print_20260226_205052","FILE","features_quarterly.csv","18607"
"print_20260226_205052","FILE","features_quarterly_with_fair - Copy.csv","51267"
"print_20260226_205052","FILE","features_quarterly_with_fair.csv","51267"
"print_20260226_205052","FILE","fig_domain_mortgage_stock_gbp_bn.png","58981"
"print_20260226_205052","FILE","fig_fair_contributions.png","209197"
"print_20260226_205052","FILE","fig_fair_level.png","156747"
"print_20260226_205052","FILE","fig_price_and_fair_with_crash_starts.png","153017"
"print_20260226_205052","FILE","homeix_fair_paper.html","14337"
"print_20260226_205052","FILE","homeix_followup_paper - Copy.html","22116"
"print_20260226_205052","FILE","homeix_followup_paper.html","22116"
"print_20260226_203444","FILE","domain_terms_state1_state2.csv","312"
"print_20260226_203444","FILE","ew_crash_starts.csv","13"
"print_20260226_203444","FILE","ew_events_lead_times.csv","88"
"print_20260226_203444","FILE","ew_summary.json","291"
"print_20260226_203444","FILE","fair_quarterly_audit.csv","33687"
"print_20260226_203444","FILE","fair_summary_baseline_stats.csv","280"
"print_20260226_203444","FILE","features_quarterly.csv","18575"
"print_20260226_203444","FILE","features_quarterly_with_fair.csv","50091"
"print_20260226_203444","FILE","fig_price_and_fair_with_crash_starts.png","148678"
"print_20260226_203444","FILE","homeix_fair_paper.html","14337"
"print_20260226_203444","FILE","homeix_followup_paper.html","22116"
"print_20260226_201520","FILE","domain_terms_state1_state2.csv","312"
"print_20260226_201520","FILE","ew_crash_starts.csv","13"
"print_20260226_201520","FILE","ew_events_lead_times.csv","88"
"print_20260226_201520","FILE","ew_summary.json","291"
"print_20260226_201520","FILE","fair_quarterly_audit.csv","33687"
"print_20260226_201520","FILE","fair_summary_baseline_stats.csv","280"
"print_20260226_201520","FILE","features_quarterly.csv","18575"
"print_20260226_201520","FILE","features_quarterly_with_fair.csv","50091"
"print_20260226_201520","FILE","homeix_fair_paper.html","14337"
"print_20260226_201520","FILE","homeix_followup_paper.html","22116"
"print_20260227_173047","DIR","assets",
"print_20260227_173047","DIR","outputs",
"print_20260227_173047","FILE","domain_terms_state1_state2.csv","331"
"print_20260227_173047","FILE","ew_crash_starts.csv","13"
"print_20260227_173047","FILE","ew_events_lead_times.csv","88"
"print_20260227_173047","FILE","ew_summary.json","300"
"print_20260227_173047","FILE","fair_quarterly_audit.csv","35221"
"print_20260227_173047","FILE","fair_summary_baseline_stats.csv","280"
"print_20260227_173047","FILE","features_quarterly.csv","19131"
"print_20260227_173047","FILE","features_quarterly_with_fair.csv","52360"
"print_20260227_173047","FILE","Homeix.epub","4818314"
"print_20260227_173047","FILE","homeix_fair_paper.html","14337"
"print_20260227_173047","FILE","homeix_followup_paper.html","22116"
"print_20260227_173047","FILE","index.html","34622"
